"RUT","Nemotecnico","Nombre","Tipo.de.Activo","Tipo de Activo"
NA,"CFISECOA-E","FONDO DE INVERSION SECURITY OAKTREE OPPORTUNITIES-DEBT","Tipo de Activo",NA
"9251","CFMCCDCIGI","FONDO DE INVERSIÓN CREDICORP CAPITAL DEUDA CORPORATIVA INVESTMENT GRADE","Sin clasificación",NA
"9251","CFMCCDCIGD","FONDO DE INVERSIÓN CREDICORP CAPITAL DEUDA CORPORATIVA INVESTMENT GRADE","Sin clasificación",NA
"9251","CFMCCDCIGB","FONDO DE INVERSIÓN CREDICORP CAPITAL DEUDA CORPORATIVA INVESTMENT GRADE","Sin clasificación",NA
"9251","CFMCCDCIAC","FONDO DE INVERSIÓN CREDICORP CAPITAL DEUDA CORPORATIVA INVESTMENT GRADE","Sin clasificación",NA
"9251","CFMCCDCIIM","FONDO DE INVERSIÓN CREDICORP CAPITAL DEUDA CORPORATIVA INVESTMENT GRADE","Sin clasificación",NA
"9251","CFMCCDCICC","FONDO DE INVERSIÓN CREDICORP CAPITAL DEUDA CORPORATIVA INVESTMENT GRADE","Sin clasificación",NA
"10058","CFMBCHAGDI","FONDO MUTUO BANCHILE AGRESIVO","Sin clasificación",NA
"10058","CFMBCHAGBC","FONDO MUTUO BANCHILE AGRESIVO","Sin clasificación",NA
"8517","CFMBCHAACC","FONDO MUTUO BANCHILE ASIATICO EMERGENTE","Renta Variable",NA
"8517","CFMBCHASAC","FONDO MUTUO BANCHILE ASIATICO EMERGENTE","Renta Variable",NA
"8517","CFMBCHASAV","FONDO MUTUO BANCHILE ASIATICO EMERGENTE","Renta Variable",NA
"8517","CFMBCHAIOB","FONDO MUTUO BANCHILE ASIATICO EMERGENTE","Renta Variable",NA
"8517","CFMBCHAABP","FONDO MUTUO BANCHILE ASIATICO EMERGENTE","Renta Variable",NA
"8517","CFMBCHABCH","FONDO MUTUO BANCHILE ASIATICO EMERGENTE","Renta Variable",NA
"10173","CFMBCBREBP","FONDO MUTUO BANCHILE BLACKROCK ESG",NA,NA
"9022","CFMBCHCAPP","FONDO MUTUO BANCHILE CAPITAL EMPRESARIAL","Money Market",NA
"9022","CFMBCHCAPE","FONDO MUTUO BANCHILE CAPITAL EMPRESARIAL","Money Market",NA
"8026","CFMBCHCFIP","FONDO MUTUO BANCHILE CAPITAL FINANCIERO","Money Market",NA
"8026","CFMBCHCFCH","FONDO MUTUO BANCHILE CAPITAL FINANCIERO","Money Market",NA
"8026","CFMBCHCFIN","FONDO MUTUO BANCHILE CAPITAL FINANCIERO","Money Market",NA
"8026","CFMBCHCFIT","FONDO MUTUO BANCHILE CAPITAL FINANCIERO","Money Market",NA
"8026","CFMBCHCROB","FONDO MUTUO BANCHILE CAPITAL FINANCIERO","Money Market",NA
"8026","CFMBCHCFBL","FONDO MUTUO BANCHILE CAPITAL FINANCIERO","Money Market",NA
"10059","CFMBCHCODI","FONDO MUTUO BANCHILE CONSERVADOR","Sin clasificación",NA
"10059","CFMBCHCOBC","FONDO MUTUO BANCHILE CONSERVADOR","Sin clasificación",NA
"8248","CFMBCHCDFU","FONDO MUTUO BANCHILE CORPORATE DOLLAR","Money Market",NA
"8248","CFMBCHCDBH","FONDO MUTUO BANCHILE CORPORATE DOLLAR","Money Market",NA
"8248","CFMBCHCDBL","FONDO MUTUO BANCHILE CORPORATE DOLLAR","Money Market",NA
"8248","CFMBCHCDIT","FONDO MUTUO BANCHILE CORPORATE DOLLAR","Money Market",NA
"8957","CFMBCHDEUD","FONDO MUTUO BANCHILE DEUDA DÓLAR","Renta Fija",NA
"8957","CFMBCHDEBC","FONDO MUTUO BANCHILE DEUDA DÓLAR","Renta Fija",NA
"8249","CFMBCHDING","FONDO MUTUO BANCHILE DEUDA GLOBAL","Renta Fija",NA
"8249","CFMBCHLCIP","FONDO MUTUO BANCHILE DEUDA GLOBAL","Renta Fija",NA
"8249","CFMBCHLCA1","FONDO MUTUO BANCHILE DEUDA GLOBAL","Renta Fija",NA
"8249","CFMBCHLCIH","FONDO MUTUO BANCHILE DEUDA GLOBAL","Renta Fija",NA
"8934","CFMBCHDEBH","FONDO MUTUO BANCHILE DEUDA SOBERANA","Renta Fija",NA
"8934","CFMBCHDADC","FONDO MUTUO BANCHILE DEUDA SOBERANA","Renta Fija",NA
"8934","CFMBCHDESA","FONDO MUTUO BANCHILE DEUDA SOBERANA","Renta Fija",NA
"8934","CFMBCHDESD","FONDO MUTUO BANCHILE DEUDA SOBERANA","Renta Fija",NA
"8934","CFMBCHDEBP","FONDO MUTUO BANCHILE DEUDA SOBERANA","Renta Fija",NA
"8934","CFMBCHEUFB","FONDO MUTUO BANCHILE DEUDA SOBERANA","Renta Fija",NA
"8052","CFMBCHDLEB","FONDO MUTUO BANCHILE DISPONIBLE","Money Market",NA
"8052","CFMBCHDIPL","FONDO MUTUO BANCHILE DISPONIBLE","Money Market",NA
"8052","CFMBCHDIAD","FONDO MUTUO BANCHILE DISPONIBLE","Money Market",NA
"8054","CFMBCHEMFU","FONDO MUTUO BANCHILE EMERGING","Renta Variable",NA
"8054","CFMBCHEMFC","FONDO MUTUO BANCHILE EMERGING","Renta Variable",NA
"8054","CFMBCHEMDB","FONDO MUTUO BANCHILE EMERGING","Renta Variable",NA
"8054","CFMBCHEMBP","FONDO MUTUO BANCHILE EMERGING","Renta Variable",NA
"8054","CFMBCHEMBH","FONDO MUTUO BANCHILE EMERGING","Renta Variable",NA
"8299","CFMBCHEMKA","FONDO MUTUO BANCHILE EMERGING DOLLAR","Renta Variable",NA
"8299","CFMBCHEMMC","FONDO MUTUO BANCHILE EMERGING DOLLAR","Renta Variable",NA
"8299","CFMBCHEMBC","FONDO MUTUO BANCHILE EMERGING DOLLAR","Renta Variable",NA
"8125","CFMBCHESBP","FONDO MUTUO BANCHILE ESTRATEGICO","Renta Fija",NA
"8125","CFMBCHESTD","FONDO MUTUO BANCHILE ESTRATEGICO","Renta Fija",NA
"8125","CFMBCHESTR","FONDO MUTUO BANCHILE ESTRATEGICO","Renta Fija",NA
"8125","CFMBCHESTB","FONDO MUTUO BANCHILE ESTRATEGICO","Renta Fija",NA
