"nemotecnico","run","clase"
"ACWI",NA,"RV Internacional"
"CFM-BICXDI","8750","RF Nacional"
"CFMBBVPAAH","8116","Balanceados Nacional"
"CFMBBVPAAP","8116","Balanceados Nacional"
"CFMBBVPACL","8116","Balanceados Nacional"
"CFMBBVPATH","8116","Balanceados Nacional"
"CFMBBVPAWE","8116","Balanceados Nacional"
"CFMBBVPCAP","8886","RF Nacional"
"CFMBBVPCAS","8886","RF Nacional"
"CFMBBVPCCL","8886","RF Nacional"
"CFMBBVPCWE","8886","RF Nacional"
"CFMBBVPCWH","8886","RF Nacional"
"CFMBBVPMAC","8740","Balanceados Nacional"
"CFMBBVPMAE","8740","Balanceados Nacional"
"CFMBBVPMAH","8740","Balanceados Nacional"
"CFMBBVPMAP","8740","Balanceados Nacional"
"CFMBBVPMAW","8740","Balanceados Nacional"
"CFMBBVRVLC","8482","RV Nacional"
"CFMBBVRVLE","8482","RV Nacional"
"CFMBBVRVLP","8482","RV Nacional"
"CFMBBVRVLW","8482","RV Nacional"
"CFMBCHAABP","8517","RV Nacional"
"CFMBCHAACC","8517","RV Nacional"
"CFMBCHABCH","8517","RV Nacional"
"CFMBCHACBC","8377","Balanceados Nacional"
"CFMBCHACCA","8377","Balanceados Nacional"
"CFMBCHAIOB","8517","RV Nacional"
"CFMBCHASAC","8517","RV Nacional"
"CFMBCHASAV","8517","RV Nacional"
"CFMBCHCAPE","9022","RF Nacional"
"CFMBCHCAPP","9022","RF Nacional"
"CFMBCHCBCA","9489","RV Nacional"
"CFMBCHCBCB","9489","RV Nacional"
"CFMBCHCBCH","9489","RV Nacional"
"CFMBCHCBPL","8274","RF Nacional"
"CFMBCHCDBH","8248","RF Nacional"
"CFMBCHCDBL","8248","RF Nacional"
"CFMBCHCDFU","8248","RF Nacional"
"CFMBCHCDIT","8248","RF Nacional"
"CFMBCHCFBL","8026","RF Nacional"
"CFMBCHCFCH","8026","RF Nacional"
"CFMBCHCFIN","8026","RF Nacional"
"CFMBCHCFIP","8026","RF Nacional"
"CFMBCHCFIT","8026","RF Nacional"
"CFMBCHCRBH","8274","RF Nacional"
"CFMBCHCREC","8274","RF Nacional"
"CFMBCHCREE","8274","RF Nacional"
"CFMBCHCROB","8026","RF Nacional"
"CFMBCHCRP1","8274","RF Nacional"
"CFMBCHCTOB","8274","RF Nacional"
"CFMBCHDADC","8934","RF Nacional"
"CFMBCHDEBC","8957","RF Nacional"
"CFMBCHDEBH","8934","RF Nacional"
"CFMBCHDEBP","8934","RF Nacional"
"CFMBCHDESA","8934","RF Nacional"
"CFMBCHDESD","8934","RF Nacional"
"CFMBCHDEUD","8957","RF Nacional"
"CFMBCHDIAD","8052","RF Nacional"
"CFMBCHDING","8249","RF Nacional"
"CFMBCHDIPL","8052","RF Nacional"
"CFMBCHDLEB","8052","RF Nacional"
"CFMBCHDXIB","8152","RF Nacional"
"CFMBCHDXXI","8152","RF Nacional"
"CFMBCHEBPL","9043","Balanceados Nacional"
"CFMBCHEDBP","8129","RV Nacional"
"CFMBCHEMBC","8299","RV Nacional"
"CFMBCHEMBH","8054","RV Nacional"
"CFMBCHEMBP","8054","RV Nacional"
"CFMBCHEMDB","8054","RV Nacional"
"CFMBCHEMFC","8054","RV Nacional"
"CFMBCHEMFU","8054","RV Nacional"
"CFMBCHEMKA","8299","RV Nacional"
"CFMBCHEMMC","8299","RV Nacional"
"CFMBCHEPVD","8125","RF Nacional"
"CFMBCHESBP","8125","RF Nacional"
"CFMBCHESTB","8125","RF Nacional"
"CFMBCHESTD","8125","RF Nacional"
"CFMBCHESTR","8125","RF Nacional"
"CFMBCHEUBH","8129","RV Nacional"
"CFMBCHEUDA","8129","RV Nacional"
"CFMBCHEUDB","8129","RV Nacional"
"CFMBCHEUDC","8129","RV Nacional"
"CFMBCHEUFB","8934","RF Nacional"
"CFMBCHGDBH","8301","RV Nacional"
"CFMBCHGDFU","8301","RV Nacional"
"CFMBCHGLDC","8301","RV Nacional"
"CFMBCHGMCA","8088","RV Nacional"
"CFMBCHGMCC","8088","RV Nacional"
"CFMBCHGMPL","8088","RV Nacional"
"CFMBCHGNDB","8088","RV Nacional"
"CFMBCHHOBH","8023","RF Nacional"
"CFMBCHHOBP","8023","RF Nacional"
"CFMBCHHOIT","8023","RF Nacional"
"CFMBCHHORD","8023","RF Nacional"
"CFMBCHHORI","8023","RF Nacional"
"CFMBCHHORV","8023","RF Nacional"
"CFMBCHHTEB","8023","RF Nacional"
"CFMBCHIAIB","8380","RV Nacional"
"CFMBCHIN10","9043","Balanceados Nacional"
"CFMBCHINAD","8380","RV Nacional"
"CFMBCHINBH","8380","RV Nacional"
"CFMBCHINCI","8380","RV Nacional"
"CFMBCHINP1","8380","RV Nacional"
"CFMBCHINP2","8380","RV Nacional"
"CFMBCHIUBH","8078","RV Nacional"
"CFMBCHIUBP","8078","RV Nacional"
"CFMBCHIUSA","8078","RV Nacional"
"CFMBCHIUSC","8078","RV Nacional"
"CFMBCHLABP","8811","RV Nacional"
"CFMBCHLCA1","8249","RF Nacional"
"CFMBCHLCIH","8249","RF Nacional"
"CFMBCHLCIP","8249","RF Nacional"
"CFMBCHLMCB","8811","RV Nacional"
"CFMBCHLMCC","8811","RV Nacional"
"CFMBCHLTBH","8811","RV Nacional"
"CFMBCHLTMC","8811","RV Nacional"
"CFMBCHPACB","8377","Balanceados Nacional"
"CFMBCHPBLP","8448","Balanceados Nacional"
"CFMBCHPCBP","8377","Balanceados Nacional"
"CFMBCHRMDI","8274","RF Nacional"
"CFMBCHUESB","8127","RF Nacional"
"CFMBCHUNDB","8078","RV Nacional"
"CFMBCHUSBH","8300","RV Nacional"
"CFMBCHUSDC","8300","RV Nacional"
"CFMBCHUSDF","8300","RV Nacional"
"CFMBCHUTBH","8127","RF Nacional"
"CFMBCHUTBP","8127","RF Nacional"
"CFMBCHUTGE","8127","RF Nacional"
"CFMBCHUTGL","8127","RF Nacional"
"CFMBCHUTP1","8127","RF Nacional"
"CFMBCHVAAB","8448","Balanceados Nacional"
"CFMBCHVDIA","8448","Balanceados Nacional"
"CFMBCHXXBH","8152","RF Nacional"
"CFMBCHXXID","8152","RF Nacional"
"CFMBCHXXIV","8152","RF Nacional"
"CFMBCIBOSF","8327","RF Nacional"
"CFMBCIBOSV","8327","RF Nacional"
"CFMBCICDSC","8967","RF Nacional"
"CFMBCICDST","8967","RF Nacional"
"CFMBCICNIV","9063","Balanceados Nacional"
"CFMBCICNPV","9063","Balanceados Nacional"
"CFMBCICOMA","8107","RF Nacional"
"CFMBCICOME","8107","RF Nacional"
"CFMBCICOMG","8107","RF Nacional"
"CFMBCICOMI","8107","RF Nacional"
"CFMBCICPAP","8107","RF Nacional"
"CFMBCIDALC","8174","RF Nacional"
"CFMBCIDALF","8174","RF Nacional"
"CFMBCIDALV","8174","RF Nacional"
"CFMBCIDCAP","8257","RF Nacional"
"CFMBCIDCCL","8257","RF Nacional"
"CFMBCIDCH1","9511","Balanceados Nacional"
"CFMBCIDCH3","9511","Balanceados Nacional"
"CFMBCIDCH4","9511","Balanceados Nacional"
"CFMBCIDLHA","8967","RF Nacional"
"CFMBCIDPSB","8064","RF Nacional"
"CFMBCIDPSF","8064","RF Nacional"
"CFMBCIDSHG","8257","RF Nacional"
"CFMBCIEFCL","8037","RF Nacional"
"CFMBCIEFEA","8037","RF Nacional"
"CFMBCIEFEG","8037","RF Nacional"
"CFMBCIEFEI","8037","RF Nacional"
"CFMBCIFUFC","8941","RF Nacional"
"CFMBCIFUFF","8941","RF Nacional"
"CFMBCIG20A","8638","Balanceados Nacional"
"CFMBCIG20B","8638","Balanceados Nacional"
"CFMBCIG20C","8638","Balanceados Nacional"
"CFMBCIG20F","8638","Balanceados Nacional"
"CFMBCIG50A","8639","Balanceados Nacional"
"CFMBCIG50B","8639","Balanceados Nacional"
"CFMBCIG50C","8639","Balanceados Nacional"
"CFMBCIG50F","8639","Balanceados Nacional"
"CFMBCIG80A","8640","Balanceados Nacional"
"CFMBCIG80B","8640","Balanceados Nacional"
"CFMBCIG80C","8640","Balanceados Nacional"
"CFMBCIG80F","8640","Balanceados Nacional"
"CFMBCIGABC","8460","RF Nacional"
"CFMBCIGABP","8460","RF Nacional"
"CFMBCIGACL","8460","RF Nacional"
"CFMBCIGAHA","8460","RF Nacional"
"CFMBCIGAHF","8460","RF Nacional"
"CFMBCIGVRB","8108","RF Nacional"
"CFMBCIGVRC","8108","RF Nacional"
"CFMBCIGVRF","8108","RF Nacional"
"CFMBCIGVRP","8108","RF Nacional"
"CFMBCILCAP","8967","RF Nacional"
"CFMBCILCBC","8967","RF Nacional"
"CFMBCILCBP","8967","RF Nacional"
"CFMBCIMOAP","8731","RF Nacional"
"CFMBCINDAP","9231","RF Nacional"
"CFMBCINDBC","9231","RF Nacional"
"CFMBCINDBP","9231","RF Nacional"
"CFMBCINDCL","9231","RF Nacional"
"CFMBCINDSA","9231","RF Nacional"
"CFMBCINGB1","8327","RF Nacional"
"CFMBCINGBC","8941","RF Nacional"
"CFMBCINGCS","8327","RF Nacional"
"CFMBCIPAHV","9061","RF Nacional"
"CFMBCIPAIN","9060","Balanceados Nacional"
"CFMBCIPAIV","9061","RF Nacional"
"CFMBCIPAPV","9060","Balanceados Nacional"
"CFMBCIPBIN","9062","Balanceados Nacional"
"CFMBCIPBPV","9062","Balanceados Nacional"
"CFMBCIPEAV","8064","RF Nacional"
"CFMBCIPECL","8064","RF Nacional"
"CFMBCIPESA","8064","RF Nacional"
"CFMBCIRCLA","8036","RF Nacional"
"CFMBCIRDAD","9445","RF Nacional"
"CFMBCIRDAP","9445","RF Nacional"
"CFMBCIRDBC","9445","RF Nacional"
"CFMBCIRDBP","9445","RF Nacional"
"CFMBCIRDCL","9445","RF Nacional"
"CFMBCIRDSA","9445","RF Nacional"
"CFMBCIRDSI","9445","RF Nacional"
"CFMBCIRFAM","8036","RF Nacional"
"CFMBCIRTOV","8036","RF Nacional"
"CFMBCISBBC","8430","RV Nacional"
"CFMBCISBGA","8430","RV Nacional"
"CFMBCISBLB","8430","RV Nacional"
"CFMBCISBLC","8430","RV Nacional"
"CFMBCISBLF","8430","RV Nacional"
"CFMBCISBLP","8430","RV Nacional"
"CFMBCITOBP","8787","RV Nacional"
"CFMBCITOPP","8787","RV Nacional"
"CFMBCIUFAP","8941","RF Nacional"
"CFMBICBEFC","8029","RF Nacional"
"CFMBICBEUA","8114","RV Nacional"
"CFMBICBEUB","8114","RV Nacional"
"CFMBICBEUC","8114","RV Nacional"
"CFMBICBEUD","8114","RV Nacional"
"CFMBICBEUF","8114","RV Nacional"
"CFMBICBEUI","8114","RV Nacional"
"CFMBICBEXG","8063","RF Nacional"
"CFMBICBLAG","8537","RV Nacional"
"CFMBICBLTA","8537","RV Nacional"
"CFMBICBLTB","8537","RV Nacional"
"CFMBICBLTC","8537","RV Nacional"
"CFMBICBLTD","8537","RV Nacional"
"CFMBICBLTF","8537","RV Nacional"
"CFMBICBLTI","8537","RV Nacional"
"CFMBICBMEB","8475","RV Nacional"
"CFMBICBMEC","8475","RV Nacional"
"CFMBICBMED","8475","RV Nacional"
"CFMBICBMEF","8475","RV Nacional"
"CFMBICBMEG","8475","RV Nacional"
"CFMBICBMEI","8475","RV Nacional"
"CFMBICBMEM","8475","RV Nacional"
"CFMBICBNAA","8183","RV Nacional"
"CFMBICBNAB","8183","RV Nacional"
"CFMBICBNAC","8183","RV Nacional"
"CFMBICBNAD","8183","RV Nacional"
"CFMBICBNAF","8183","RV Nacional"
"CFMBICBNAG","8183","RV Nacional"
"CFMBICBNAI","8183","RV Nacional"
"CFMBICBNFB","8029","RF Nacional"
"CFMBICBNFC","8029","RF Nacional"
"CFMBICBNFE","8029","RF Nacional"
"CFMBICBNFF","8029","RF Nacional"
"CFMBICBNFI","8029","RF Nacional"
"CFMBICBPAG","8114","RV Nacional"
"CFMBICBRAG","8141","RF Nacional"
"CFMBICBVAG","8142","RV Nacional"
"CFMBICCHAA","8819","RV Nacional"
"CFMBICCHAC","8819","RV Nacional"
"CFMBICCHAD","8819","RV Nacional"
"CFMBICCHAF","8819","RV Nacional"
"CFMBICCHAI","8819","RV Nacional"
"CFMBICCMCA","8553","RV Nacional"
"CFMBICCMCB","8553","RV Nacional"
"CFMBICCMCC","8553","RV Nacional"
"CFMBICCMCF","8553","RV Nacional"
"CFMBICCMCI","8553","RV Nacional"
"CFMBICDCOG","8785","Balanceados Nacional"
"CFMBICDINA","8785","Balanceados Nacional"
"CFMBICDINC","8785","Balanceados Nacional"
"CFMBICDIND","8785","Balanceados Nacional"
"CFMBICDINE","8785","Balanceados Nacional"
"CFMBICDINF","8785","Balanceados Nacional"
"CFMBICDINI","8785","Balanceados Nacional"
"CFMBICEIND","8063","RF Nacional"
"CFMBICELPA","9238","RF Nacional"
"CFMBICELPB","9238","RF Nacional"
"CFMBICELPC","9238","RF Nacional"
"CFMBICELPD","9238","RF Nacional"
"CFMBICELPF","9238","RF Nacional"
"CFMBICELPG","9238","RF Nacional"
"CFMBICELPI","9238","RF Nacional"
"CFMBICEMGA","8100","RF Nacional"
"CFMBICEMGI","8100","RF Nacional"
"CFMBICEMGX","8100","RF Nacional"
"CFMBICERGC","9843","RF Nacional"
"CFMBICERGI","9843","RF Nacional"
"CFMBICEXDC","8750","RF Nacional"
"CFMBICEXDO","8750","RF Nacional"
"CFMBICEXTA","8141","RF Nacional"
"CFMBICEXTB","8141","RF Nacional"
"CFMBICEXTC","8141","RF Nacional"
"CFMBICEXTD","8141","RF Nacional"
"CFMBICEXTE","8141","RF Nacional"
"CFMBICEXTF","8141","RF Nacional"
"CFMBICINDB","8063","RF Nacional"
"CFMBICINDD","8063","RF Nacional"
"CFMBICINDF","8063","RF Nacional"
"CFMBICLIQB","8506","RF Nacional"
"CFMBICLIQX","8063","RF Nacional"
"CFMBICMDOC","8506","RF Nacional"
"CFMBICMDOI","8506","RF Nacional"
"CFMBICMDOL","8506","RF Nacional"
"CFMBICMERG","8295","Balanceados Nacional"
"CFMBICMSTA","8295","Balanceados Nacional"
"CFMBICMSTC","8295","Balanceados Nacional"
"CFMBICMSTD","8295","Balanceados Nacional"
"CFMBICMSTE","8295","Balanceados Nacional"
"CFMBICMSTF","8295","Balanceados Nacional"
"CFMBICMSTI","8295","Balanceados Nacional"
"CFMBICMUAA","8924","RV Nacional"
"CFMBICMUAB","8924","RV Nacional"
"CFMBICMUAC","8924","RV Nacional"
"CFMBICMUAD","8924","RV Nacional"
"CFMBICMUAE","8924","RV Nacional"
"CFMBICMUAF","8924","RV Nacional"
"CFMBICMUAI","8924","RV Nacional"
"CFMBICRGDA","9843","RF Nacional"
"CFMBICRGDC","10125","RF Nacional"
"CFMBICRGDI","10125","RF Nacional"
"CFMBICRUFI","8141","RF Nacional"
"CFMBICSAUD","10049","Balanceados Nacional"
"CFMBICSENT","10048","Balanceados Nacional"
"CFMBICSPRU","10050","Balanceados Nacional"
"CFMBICTETG","8032","Balanceados Nacional"
"CFMBICTGLA","10009","RV Nacional"
"CFMBICTGLC","10009","RV Nacional"
"CFMBICTGLF","10009","RV Nacional"
"CFMBICTGLI","10009","RV Nacional"
"CFMBICTGRC","8032","Balanceados Nacional"
"CFMBICTGRF","8032","Balanceados Nacional"
"CFMBICTGRI","8032","Balanceados Nacional"
"CFMBICTRGA","8032","Balanceados Nacional"
"CFMBICTRGD","8032","Balanceados Nacional"
"CFMBICTRGE","8032","Balanceados Nacional"
"CFMBICVAND","8142","RV Nacional"
"CFMBICVLRA","8902","RF Nacional"
"CFMBICVLRB","8902","RF Nacional"
"CFMBICVLRC","8902","RF Nacional"
"CFMBICVLRD","8902","RF Nacional"
"CFMBICVLRE","8902","RF Nacional"
"CFMBICVLRF","8902","RF Nacional"
"CFMBICVLRI","8902","RF Nacional"
"CFMBICVNGA","8142","RV Nacional"
"CFMBICVNGB","8142","RV Nacional"
"CFMBICVNGC","8142","RV Nacional"
"CFMBICVNGF","8142","RV Nacional"
"CFMBICVNGI","8142","RV Nacional"
"CFMBIDINSA","9693","RF Nacional"
"CFMBIDINSB","9693","RF Nacional"
"CFMBIDINSC","9693","RF Nacional"
"CFMBIDINSD","9693","RF Nacional"
"CFMBIDINSI","9693","RF Nacional"
"CFMBILIQSA","9690","RF Nacional"
"CFMBILIQSB","9690","RF Nacional"
"CFMBILIQSC","9690","RF Nacional"
"CFMBILIQSD","9690","RF Nacional"
"CFMBILIQSG","9690","RF Nacional"
"CFMBILIQSI","9690","RF Nacional"
"CFMBIMASSA","9692","RF Nacional"
"CFMBIMASSB","9692","RF Nacional"
"CFMBIMASSC","9692","RF Nacional"
"CFMBIMASSD","9692","RF Nacional"
"CFMBIMASSE","9692","RF Nacional"
"CFMBIMASSG","9692","RF Nacional"
"CFMBIMASSI","9692","RF Nacional"
"CFMBNSACAS","8289","RV Nacional"
"CFMBNSACCL","8289","RV Nacional"
"CFMBNSACCO","8289","RV Nacional"
"CFMBNSACPA","8289","RV Nacional"
"CFMBNSACWB","8289","RV Nacional"
"CFMBNSACWH","8289","RV Nacional"
"CFMBNSAEAP","8484","RV Nacional"
"CFMBNSAECL","8484","RV Nacional"
"CFMBNSAEWB","8484","RV Nacional"
"CFMBNSAEWH","8484","RV Nacional"
"CFMBNSASAP","8822","RV Nacional"
"CFMBNSASCL","8822","RV Nacional"
"CFMBNSASWB","8822","RV Nacional"
"CFMBNSASWH","8822","RV Nacional"
"CFMBNSAUAP","8480","RV Nacional"
"CFMBNSAUCL","8480","RV Nacional"
