"nombre","tac"
"FI Albion","1.59"
"FONDO MUTUO ITAU CARTERA CRECIMIENTO DEFENSIVO","1.35"
"FONDO MUTUO BANCHILE CONSERVADOR","1.21"
"FONDO MUTUO SURA MULTIACTIVO PRUDENTE","2.23"
"FONDO MUTUO SANTANDER PRIVATE BANKING PRUDENTE","1.30"
"FONDO MUTUO FINTUAL CONSERVATIVE CLOONEY","1.19"
"FONDO MUTUO PRINCIPAL GESTION ACTIVA CONSERVADOR","3.12"
"FONDO MUTUO LARRAINVIAL PROTECCION","2.67"
"FONDO MUTUO SANTANDER GESTION ACTIVA PRUDENTE","1.80"
"FONDO MUTUO SCOTIA PORTAFOLIO CONSERVADOR","1.75"
"FONDO MUTUO BCI CARTERA DINAMICA CONSERVADORA","1.75"
"FONDO MUTUO BANCHILE PORTAFOLIO CONSERVADOR LARGO PLAZO","1.70"
"FONDO MUTUO FONDO ACTIVO 2035","2.05"
"FONDO MUTUO CREDICORP CAPITAL PROTEGE","1.44"
"FONDO MUTUO SANTANDER RENTA EXTRA LARGO PLAZO UF","1.77"
"FONDO MUTUO SECURITY CONSERVADOR ESTRATEGICO","2.37"
"FONDO MUTUO PRINCIPAL GESTION ACTIVA MUY CONSERVADOR","2.34"
"FONDO MUTUO BCI CARTERA PATRIMONIAL CONSERVADORA","1.76"
"FONDO MUTUO LARRAINVIAL CUENTA ACTIVA CONSERVADORA","2.11"
"FONDO MUTUO BICE DIGITAL CONSERVADOR","1.51"
"FONDO MUTUO ITAU GESTIONADO CONSERVADOR","2.59"
"FONDO MUTUO BANCOESTADO MI FUTURO CONSERVADOR","1.13"
"FONDO MUTUO LARRAINVIAL AHORRO ACTIVO","1.35"
"FONDO MUTUO BICE CONSERVADOR","2.55"
"FONDO MUTUO CONSORCIO DINAMICO CONSERVADOR","2.29"
"FONDO MUTUO ZURICH PERFIL CONSERVADOR","2.80"
"FONDO MUTUO BANCOESTADO MI FUTURO ACCESIBLE","1.01"
"FONDO MUTUO COOPEUCH COMPASS CONSERVADOR","1.13"
"FONDO MUTUO FINTUAL VERY CONSERVATIVE STREEP","1.19"
"FONDO MUTUO CONSERVADOR FOCUS","1.03"
"FONDO MUTUO BANCOESTADO PERFIL E","1.31"
"FONDO MUTUO BTG PACTUAL GESTION CONSERVADORA","2.12"
"FONDO MUTUO BCI MACH","1.00"
